RM,Aluno,Turma,E-mail aluno,Pai,CPF pai,E-mail pai,Tel pai,Mae,CPF mae,E-mail mae,Tel mae
991176,Augusta Gussie,9 C,991176_aluno@email.com.br,Elizabeth Eliza,32271063588,991176_pai@email.com.br,(35)55924-3892,Shirley Lee,44147854344,991176_mae@email.com.br,(88)72180-5495
978782,Ferdinand Freddie,2 B,aluno.978782.84@gmail.com,Carrie Cassie,33199441654,pai.978782.83@gmail.com,(71)45135-7320,Ezekiel Zeke,17952407197,mae.978782.39@gmail.com,(82)72494-8453
977244,Beatrice Trisha,3 B,977244_aluno@email.com.br,Winnifred Fred,99977227419,977244_pai@email.com.br,(64)16212-0149,Wilhelmina Willie,93783026658,mae.977244.85@gmail.com,(15)24966-4447
974810,Richard Ricky,3 A,aluno.974810.47@gmail.com,Anne Nana,34302281156,pai.974810.64@gmail.com,(55)72033-1268,Virginia Ginger,86513912250,974810_mae@email.com.br,(13)06940-1811
974211,Walter Walt,2 C,974211_aluno@email.com.br,Edmund Ed,38958214203,pai.974211.26@gmail.com,(71)26021-9228,Alexander Al,96246246617,974211_mae@email.com.br,(90)63577-6663
967475,Roberta Bert,3 B,967475_aluno@email.com.br,Wilfred Fred,22049848697,pai.967475.53@gmail.com,(87)47235-9342,Vincenzo Vinnie,30516044781,967475_mae@email.com.br,(42)18038-4033
962710,Lil Lily,7 A,aluno.962710.22@gmail.com,Leonard Lineau,44460409570,pai.962710.77@gmail.com,(70)12103-3233,Christine Crissy,68387788361,mae.962710.67@gmail.com,(81)08705-3661
960137,Winifred Winnet,4 C,aluno.960137.39@gmail.com,Philetus Leet,30508805845,960137_pai@email.com.br,(58)57721-1847,Alicia Lisa,91845734095,mae.960137.86@gmail.com,(37)67263-7956
956131,Matthew Matty,6 B,956131_aluno@email.com.br,Levi Lee,11882182589,pai.956131.82@gmail.com,(72)34940-7735,Frankie Frank,83688772076,956131_mae@email.com.br,(63)09500-9057
954040,Winifred Winnie,5 C,954040_aluno@email.com.br,Geoff Jeff,74191653321,pai.954040.86@gmail.com,(61)00357-8177,Johannah Hannah,30675801203,mae.954040.79@gmail.com,(96)01266-0718
943119,LeRoy L.R.,2 A,aluno.943119.99@gmail.com,Roxanna Ann,25090242609,943119_pai@email.com.br,(95)28563-2586,Nick Nik,69616892998,mae.943119.63@gmail.com,(55)54214-4149
936229,Isabel Issy,6 B,936229_aluno@email.com.br,Julia Jill,45269437072,pai.936229.87@gmail.com,(83)97137-0518,Gertrude Trudy,70059762165,936229_mae@email.com.br,(71)18646-9607
