Codigo,Professor,CPF,E-mail
9943,Margaret Gretta,88796395089,margaret1@escola.br
9814,Carolyn Carrie,11194003174,carolyn2@escola.br
9576,Donald Dony,38343246731,donald7@escola.br
9529,Frankie Frank,60586820923,frankie9@escola.br
9519,Leslie Les,12914900718,leslie6@escola.br
9286,Eleanor Elaine,26144686663,eleanor10@escola.br
8984,Winnifred Winnie,13217733743,winnifred8@escola.br
8964,Victoria Vicky,18839026251,victoria9@escola.br
8904,Keziah Kizzie,99064065159,keziah9@escola.br
8340,Sandra Sandy,18804459496,sandra10@escola.br
8029,Gerald Gerry,16507127803,gerald2@escola.br
7946,Caroline Carrie,80099399307,caroline5@escola.br
7896,Smith Smitty,64856315272,smith0@escola.br
7881,Seymour Morey,39203815710,seymour6@escola.br
7294,Christine Kristy,77715561060,christine8@escola.br
7264,Rebecca Becca,53171460112,rebecca6@escola.br
7225,Matthew Matty,73757066974,m@e.com
7172,Janet Jan,87851754137,janet9@escola.br
6936,Kristine Chris,89762987888,kristine7@escola.br
6922,Clifton Cliff,62990450264,clifton4@escola.br
6861,Ann Annie,22220291462,ann7@escola.br
6714,Amanda Manda,17013969492,amanda7@escola.br
6416,Franklind Frank,33695106114,franklind10@escola.br
6381,Junior JR,82904023597,junior4@escola.br
6318,Isaac Ike,32939903121,isaac5@escola.br
6236,Olivia Ollie,35959489403,olivia5@escola.br
6152,Randolph Randy,68700401299,randolph4@escola.br
6003,Wilbur Willy,43271793717,wilbur3@escola.br
5978,Josephine Fina,18654615091,josephine9@escola.br
5720,Isabella Ib,32980113191,isabella10@escola.br
5352,Frances Frannie,51207183243,frances7@escola.br
5346,Sylvester Sy,31197769211,sylvester4@escola.br
5272,Virginia Jennie,39057397787,virginia10@escola.br
5027,Vincenzo Vin,59467665893,vincenzo2@escola.br
4864,Trix Trixie,63936124786,trix8@escola.br
4457,Solomon Solly,10541409157,solomon9@escola.br
4014,Debra Debbie,73922221730,debra9@escola.br
3788,Uriah Riah,24916788100,uriah4@escola.br
3646,Marjorie Margie,25998044168,marjorie3@escola.br
3517,Darlene Darry,97457276469,darlene10@escola.br
3357,Ossy Ozzy,59348770063,ossy8@escola.br
3238,Christiana Crissy,46811884774,christiana7@escola.br
3208,Richard Rich,14514166912,richard0@escola.br
3167,Levi Lee,96477389500,levi2@escola.br
3036,Joanna Jody,92260923995,joanna6@escola.br
2949,Dalton Dahl,16548952267,dalton7@escola.br
2219,Hester Hetty,31240337894,hester0@escola.br
2044,Matthew Mattie,14826102396,matthew8@escola.br
2022,Cynthia Cintha,35613882181,cynthia8@escola.br
1140,Dennison Denny,24867898678,dennison1@escola.br
